productId,productDisplayName,etsySku,templateId,templateName,templateFormat,templateCategory,canvaDesignTitle,buildStatus,canvaTemplateUrl,importStatus,owner,priority,notes
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-consent-form,Botox / Neurotoxin Informed Consent Form,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-consultation-form,Neurotoxin Consultation & Medical History Form,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-photo-release,Before/After Photography Consent,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-postcare,Post-Treatment Aftercare Instructions — Neurotoxin,8.5x11,education,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-precare,Pre-Treatment Instructions — Neurotoxin,8.5x11,education,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-consent-bundle,Botox & Neurotoxin Consent + Pre/Post Care Bundle,NPA-BTX-001,btx-treatment-record,Neurotoxin Treatment Record & Dosing Log,8.5x11,clinical-record,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-consult-01,Botox Consultation Checklist,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-consult-02,What to Ask at Your First Visit,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-cta-01,Book Your Botox Consultation,1080x1080,marketing,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-ed-01,Botox 101: How Neurotoxin Works,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-ed-02,Forehead vs Frown Lines Guide,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-myth-01,Myth vs Fact: Frozen Face,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-myth-02,Myth vs Fact: Too Young for Botox,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-promo-01,New Patient Botox Offer,1080x1080,marketing,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-promo-02,Limited Spots This Week,1080x1080,marketing,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
botox-social-bundle,Botox Social Media Bundle,NPA-BSX-001,bsx-retain-01,When to Rebook Your Botox,1080x1080,social,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-cancellation-policy,Cancellation & No-Show Policy,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-hipaa-release,HIPAA Notice & Photo Release — Universal,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-iv-aftercare,IV Therapy Aftercare Instructions,8.5x11,education,,link_ready,https://www.canva.com/api/design/eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIiwiZXhwaXJ5IjoxNzc3NTI2OTI1NTM3fQ..TibPm2VN879cLzW7.c69ykieCEDKQv10fT_Rz2RSwhHPAjlogupe0iVfZhMurNEi3zrqlcjfr16AK9U_8irGsz5T34prRldJT5Xjo-9jwWYvmdWz1zjORpULOAHc7OEg.Qj8Vv84U3LqbVftYKPmvhQ/edit?utm_source=OC-AZ06epE9RQFJ&utm_medium=referral&utm_term=da96a307-cd82-431b-a6e9-7ca25944bc56&utm_campaign=public_api_list_design_clicked_hyperlink,ready_to_import,,,auto-filled from Canva API
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-iv-intake,IV Therapy Intake & Consent Form,8.5x11,forms,,link_ready,https://www.canva.com/api/design/eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIiwiZXhwaXJ5IjoxNzc3NTI2OTI1NTM3fQ..zL30iVhAARxEARsT.TrvHlFGiZIJKkr1M3BuK-4FUaRgbCP52KzaqdRDWGocBJxW0_LqEhS3NNDIKmq_e9S4lGqUG7sS9wjfo8rb4VA8_dRvansebIoCUaF4-MaCYklU.316_GWIXQn3wLhEGaGjWDg/edit?utm_source=OC-AZ06epE9RQFJ&utm_medium=referral&utm_term=67a22a36-5678-4a5b-a88e-c3fcde416819&utm_campaign=public_api_list_design_clicked_hyperlink,ready_to_import,,,auto-filled from Canva API
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-iv-menu,IV Drip Menu Template,8.5x11,marketing,,link_ready,https://www.canva.com/api/design/eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIiwiZXhwaXJ5IjoxNzc3NTI2OTI1NTM3fQ..Ok1XDBbrSHMyC_xG.lwOetus9M4RlAIKHZKLerilfm2ZZHcS6JaMYDaxl56e9o13krHKHEwDNHbbGKgxJWIlgs3FNwT0YJTRMOXbFg2gTdQ_oG-9RtZAmKRZ5bJEeB2o.yv45mvvyeX33DdnQapjLbw/edit?utm_source=OC-AZ06epE9RQFJ&utm_medium=referral&utm_term=744c6ef6-826f-4e32-a8da-55ab6ff6ff90&utm_campaign=public_api_list_design_clicked_hyperlink,ready_to_import,,,auto-filled from Canva API
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-social-ig-square,Instagram Post Templates — 10-Pack,1080x1080,social,,link_ready,https://www.canva.com/api/design/eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIiwiZXhwaXJ5IjoxNzc3NTI2OTI1NTM3fQ..vdCsQBeynwAaVJha.basR8WINDjXocvABkuHPSdVPJlQJ39jupVMk147ZHZBRe3p5lDtIfcROaXtHEHI71aOgLUMJm3VIMpS4Yb-JfMLoMyuvYVVyTCWQ-9Ena3F0zE4.d-bUq2RAyE6E5Um9EyxQLw/edit?utm_source=OC-AZ06epE9RQFJ&utm_medium=referral&utm_term=56bff9ce-21ce-4ccb-a9af-f31b2602405b&utm_campaign=public_api_list_design_clicked_hyperlink,ready_to_import,,,auto-filled from Canva API
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-social-story,Instagram Story Templates — 6-Pack,1080x1920,social,,link_ready,https://www.canva.com/api/design/eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIiwiZXhwaXJ5IjoxNzc3NTI2OTI1NTM3fQ..myq20TOsh4zT9tnE.3KyQlNdHA6ZotYISurwn_CQYbtaIeSfoRfJeZlKPokApidqFBjYI6cVNSAhLMQu3k7OUKSap2H6cuYRrVOqPATUb-aJBLGr-oXaquoLxIxJR4Hk.pQdHfre36-a4ttp2C1I9sg/edit?utm_source=OC-AZ06epE9RQFJ&utm_medium=referral&utm_term=241e7c2a-b75d-4ce7-8b6f-9e1a820672ec&utm_campaign=public_api_list_design_clicked_hyperlink,ready_to_import,,,auto-filled from Canva API
combo-bundle,Complete Med Spa Digital Bundle — IV + Weight Loss + Social,NPA-CB-001,cb-wl-consent,GLP-1 Treatment Consent Form,8.5x11,forms,,not_started,PLACEHOLDER_CANVA_URL,not_imported,,,
